name,rarity,price,set_name,image_url
8-Claws Scorpion,Common,0.12,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/14261867.jpg
A Cat of Ill Omen,Common,2.4,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/24140059.jpg
A Hero Emerges,Common,0.12,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/21597117.jpg
A Man with Wdjat,Common,0.12,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/51351302.jpg
An Owl of Luck,Common,0.58,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/23927567.jpg
Anti-Aircraft Flower,Common,0.14,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/65064143.jpg
Aqua Madoor,Rare,0.39,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/85639257.jpg
Armaill,Common,0.14,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/53153481.jpg
Armed Ninja,Rare,0.31,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/9076207.jpg
Armored Starfish,Common,0.15,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/17535588.jpg
Arsenal Bug,Common,0.14,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/42364374.jpg
Balloon Lizard,Common,0.16,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/39892082.jpg
Banner of Courage,Common,0.15,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/10012614.jpg
Barrel Behind the Door,Super Rare,1.73,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/78783370.jpg
Basic Insect,Common,0.19,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/89091579.jpg
Beast Fangs,Common,0.35,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/46009906.jpg
Beaver Warrior,Common,0.32,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/32452818.jpg
"Begone, Knave!",Common,0.12,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/20374520.jpg
Berserk Gorilla,Rare,0.97,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/39168895.jpg
Big Burn,Super Rare,0.66,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/95472621.jpg
Big Koala,Common,0.25,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/42129512.jpg
